,rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Washer,Air conditioning,Exterior security cameras on property,Carbon monoxide alarm,Superhost,guest_favorite,TV with standard cable,Luggage dropoff allowed,Refrigerator,Smoke alarm,Guest favorite,Pets allowed,Elevator,City skyline view,Fast wifi – 200 Mbps,HDTV with standard cable,Free dryer – In unit,Microwave,Smoking allowed,Free street parking,Dryer,Hair dryer,Pool - open 24 hours,rooftop,Crib
X,1,170,90,0,80,0,0,0,0,0,508618914062587342,,,,Apartment in Laureles,01/18/25 - 01/21/25,68,1,1,4.93,4.93 (43),3,https://www.airbnb.com/rooms/508618914062587342?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,19,3,56,0.8235294118,2,10,12,0.1764705882,2 beds,TRUE,TRUE,TRUE,,TRUE,,,TRUE,FALSE,,TRUE,,TRUE,,,TRUE,TRUE,,,,,,TRUE,TRUE,,,,,,
,2,155,65,0,90,0,0,0,0,0,1310157815739952582,,,,Apartment in Laureles,01/18/25 - 01/21/25,133,6,7,5,5.0 (5),1,https://www.airbnb.com/rooms/1310157815739952582?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,42,3,161,1.210526316,7,0,7,0.05263157895,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,
,3,155,70,0,85,0,0,0,0,0,1267570302224081748,,,,Loft in Laureles-Estadio,01/18/25 - 01/21/25,131,5,8,4.96,4.96 (24),2,https://www.airbnb.com/rooms/1267570302224081748?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,44,3,131,1,0,0,0,0,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,FALSE,,TRUE,,,,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,
,4,140,50,0,90,0,0,0,0,0,1215240162994784824,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,156,9,5,5,5.0 (11),1,https://www.airbnb.com/rooms/1215240162994784824?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,40,3,119,0.7628205128,15,22,37,0.2371794872,1 bed,TRUE,TRUE,TRUE,,,TRUE,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,
,5,135,60,0,75,0,0,0,0,0,1031741220812433488,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,136,7,4,4.92,4.92 (12),4,https://www.airbnb.com/rooms/1031741220812433488?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,34,3,102,0.75,17,17,34,0.25,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,
,6,135,80,0,55,0,0,0,0,0,883373477188295804,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,77,3,1,4.87,4.87 (120),8,https://www.airbnb.com/rooms/883373477188295804?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,19,3,57,0.7402597403,9,11,20,0.2597402597,1 bed,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,
,7,125,45,0,80,0,0,0,0,0,716014686002708737,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,163,10,6,4.93,4.93 (120),3,https://www.airbnb.com/rooms/716014686002708737?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,41,3,123,0.754601227,20,20,40,0.245398773,1 queen bed,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,
,8,125,60,0,65,0,0,0,0,0,1148562372019029958,,,,Loft in Laureles-Estadio,01/18/25 - 01/21/25,136,7,9,4.9,4.9 (42),6,https://www.airbnb.com/rooms/1148562372019029958?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,45,3,136,1,0,0,0,0,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,TRUE,,TRUE,,,,,,,TRUE,TRUE,,,,
X,9,125,75,0,50,0,0,0,0,0,660642282470153236,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,115,4,3,4.85,4.85 (27),9,https://www.airbnb.com/rooms/660642282470153236?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,33,3,99,0.8608695652,0,16,16,0.1391304348,1 bed,TRUE,TRUE,,,TRUE,,TRUE,TRUE,FALSE,TRUE,,,TRUE,TRUE,,,,,,,,TRUE,,,,,TRUE,,,
,10,120,85,0,35,0,0,0,0,0,832066808120820446,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,76,2,2,4.73,4.73 (70),12,https://www.airbnb.com/rooms/832066808120820446?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,20,3,59,0.7763157895,6,11,17,0.2236842105,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
,11,115,30,0,85,0,0,0,0,0,614510146401351446,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,176,13,9,4.96,4.96 (99),2,https://www.airbnb.com/rooms/614510146401351446?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,45,3,136,0.7727272727,15,25,40,0.2272727273,,TRUE,,TRUE,,,TRUE,TRUE,,FALSE,,TRUE,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,
,12,105,35,0,70,0,0,0,0,0,1185545834850618756,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,172,12,10,4.91,4.91 (11),5,https://www.airbnb.com/rooms/1185545834850618756?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,47,3,140,0.8139534884,32,0,32,0.1860465116,,TRUE,TRUE,,,TRUE,TRUE,TRUE,,FALSE,,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,,,TRUE,,,,,,,
X,13,95,55,0,40,0,0,0,0,0,1188027336965089937,Yes,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,151,8,6,4.74,4.74 (42),11,https://www.airbnb.com/rooms/1188027336965089937?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,41,3,124,0.821192053,6,21,27,0.178807947,,TRUE,TRUE,,TRUE,TRUE,TRUE,,,FALSE,TRUE,,,,,FALSE,,TRUE,,,,,,,,,,,TRUE,TRUE,
X,14,85,25,0,60,0,0,0,0,0,719502284416791225,Yes,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,274,14,12,4.89,4.89 (82),7,https://www.airbnb.com/rooms/719502284416791225?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,70,3,210,0.7664233577,30,34,64,0.2335766423,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,
X,15,80,10,0,70,0,0,0,0,0,1233175503325410278,Yes,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,317,17,14,4.91,4.91 (11),5,https://www.airbnb.com/rooms/1233175503325410278?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,81,3,243,0.7665615142,35,39,74,0.2334384858,2 beds,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
X,16,70,40,0,30,0,0,0,0,0,670515463628281339,Yes,,,Apartment in Laureles,01/18/25 - 01/21/25,167,11,11,4.45,4.45 (20),13,https://www.airbnb.com/rooms/670515463628281339?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,49,3,147,0.880239521,20,0,20,0.119760479,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,,,,,,TRUE,,,,,,,,TRUE,,,TRUE,
,17,65,15,0,50,0,0,0,0,0,1006156548159445072,Yes,,,Apartment in Laureles,01/18/25 - 01/21/25,278,16,15,4.85,4.85 (41),9,https://www.airbnb.com/rooms/1006156548159445072?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,85,3,255,0.9172661871,23,0,23,0.08273381295,1 king bed,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,
X,18,65,20,0,45,0,0,0,0,0,53170022,Yes,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,275,15,13,4.79,4.79 (132),10,https://www.airbnb.com/rooms/53170022?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,74,3,221,0.8036363636,20,34,54,0.1963636364,1 queen bed,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,