title,dates,reviewScore,totalPrice,url,nightlyRate,nights,nightlyTotal,discount,cleaningFee,airbnbFee,feeTotal
Manila luxe Paradise: Unbeatable View and location,1/14/25 - 1/17/25,5,424.93,https://www.airbnb.com/rooms/1016842110226805851?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711585358_SCMpuCfN1pnR8ax3&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-01-14&check_out=2025-01-17,117.67,3,353.01,-17.65,37,52.57,89.57
New Luxury Apartment in Medellin - Poblado,1/30/25 - 2/1/25,4.96,268,https://www.airbnb.com/rooms/569013406988758799?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711585484_cwEfF38nDbIL7GpQ&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-01-30&check_out=2025-02-02,80,,,,,,
Medi-tierrean Vibes Poblado! KingBd/300mb/4mLleras,1/26/25 - 1/29/25,4.93,333,https://www.airbnb.com/rooms/1026310835862241345?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711585542_C564dubAZsRiOU3D&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-01-26&check_out=2025-01-29,90,,,,,,
"Top Floor, Views, A/C, Fiber Internet in Laureles",2/4/25 - 2/8/25,4.94,361,https://www.airbnb.com/rooms/18345419?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711585601_fnQXYMTyV1BirjMU&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-02-04&check_out=2025-02-08,88,,,,,,
Breathtaking views. El Poblado! Total Remodel!,2/6/25 - 2/9/25,4.88,438,https://www.airbnb.com/rooms/846307105899108594?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711585693_DI3WiaBfIVXVoW8u&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-02-06&check_out=2025-02-09,99,,,,,,
"Entire rental unit in Medellín, Colombia",1/26/25 - 1/29/25,4.69,289,https://www.airbnb.com/rooms/980573811186101102?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711585861_oVOGaWw4NVxtfjDM&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-01-26&check_out=2025-01-29,95,,,,,,
Modern apartment with private Hot Tub and AC,2/2/25 - 2/5/25,4.92,394,https://www.airbnb.com/rooms/54166446?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711586156_GJoUR2OsoTgGHyfz&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-02-02&check_out=2025-02-05,102,,,,,,
Modern Paisa Inspired Apt in Laureles,1/26/25 - 1/29/25,4.94,312,https://www.airbnb.com/rooms/1049271029535223996?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711586464_DeUMOX8YnX%2FVeB02&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-01-26&check_out=2025-01-29,95,,,,,,
"Blux Loft, Near Provenza, A/C, SmartTV, Dryer",1/26/25 - 1/29/25,4.93,337,https://www.airbnb.com/rooms/5442597?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711586781_zZRexQuT5ts1CXin&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-01-26&check_out=2025-01-29,94,,,,,,
Riviera Suite Poblado! King Bed/150mbps/4mn>Llera,2/9/25 - 2/12/25,4.95,379,https://www.airbnb.com/rooms/1025713242653912898?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711587016_5piuitAcpcJYaJKh&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-02-09&check_out=2025-02-12,109,,,,,,
Urban 705 - Serenity & Bright apt w pool/gym,1/26/25 - 1/29/25,4.96,411,https://www.airbnb.com/rooms/990619452251480800?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711587113_tNPqGUXhyAz8%2BrUc&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-01-26&check_out=2025-01-29,110,,,,,,
Manila luxe Paradise: Unbeatable View and location,1/26/25 - 1/29/25,5,471,https://www.airbnb.com/rooms/1016842110226805851?adults=1&source_impression_id=p3_1712016151_hwwzoMN%2Fc81MLcOn&previous_page_section_name=1000&federated_search_id=e446e5a3-6d3a-4146-945e-9b1507fb2e47&guests=1&check_in=2025-02-09&check_out=2025-02-12,,,,,,,
"|EP| Luxury Suite w/Pool, Jacuzzi, Provenza, Desk",1/26/25 - 1/29/25,4.69,289,https://www.airbnb.com/rooms/980573811186101102?adults=1&source_impression_id=p3_1712016579_etpX7Vd0WzJaha3E&previous_page_section_name=1000&federated_search_id=e446e5a3-6d3a-4146-945e-9b1507fb2e47&guests=1&check_in=2025-01-26&check_out=2025-01-29,,,,,,,
"Amazing city view 26th floor, 2 BR with A/C. Pool",1/26/25 - 1/29/25,4.97,536,https://www.airbnb.com/rooms/757948162767533149?adults=1&source_impression_id=p3_1712020234_ZarVppAH%2ByWFa59Y&previous_page_section_name=1000&federated_search_id=e446e5a3-6d3a-4146-945e-9b1507fb2e47&guests=1&check_in=2025-02-02&check_out=2025-02-05,,,,,,,
Design & Modern Apt in Laureles,1/26/25 - 1/29/25,5,313,https://www.airbnb.com/rooms/960919600579259239?adults=1&source_impression_id=p3_1712020532_y6UX7vZLOZbx5%2Bqq&previous_page_section_name=1000&federated_search_id=e446e5a3-6d3a-4146-945e-9b1507fb2e47&guests=1&check_in=2025-01-26&check_out=2025-01-29,,,,,,,
Luxury Provenza Condo 2BR 5 min from Lleras Park,1/26/25 - 1/29/25,4.96,319,https://www.airbnb.com/rooms/1087108220811007603?adults=1&source_impression_id=p3_1712020683_JI161cfU%2BjQhucEQ&previous_page_section_name=1000&federated_search_id=4bf265e0-a02e-48ed-be20-e59df82f0a92&guests=1&check_in=2025-01-26&check_out=2025-01-29,,,,,,,
Luxurious Penthouse with Excellent Location,1/26/25 - 1/29/25,4.73,314,https://www.airbnb.com/rooms/852930955706323802?adults=1&source_impression_id=p3_1712193450_Vs28ok%2FHOO0bC5OS&previous_page_section_name=1000&federated_search_id=4bf265e0-a02e-48ed-be20-e59df82f0a92&guests=1&check_in=2025-01-27&check_out=2025-01-30,76,,,,,,
"Cozy Suite in El Poblado w/ a View, Co-work & Gym",1/26/25 - 1/29/25,4.83,215,https://www.airbnb.com/rooms/51978429?adults=1&source_impression_id=p3_1712193450_EMwc9IbSL5KySgP8&previous_page_section_name=1000&federated_search_id=4bf265e0-a02e-48ed-be20-e59df82f0a92&guests=1&check_in=2025-01-26&check_out=2025-01-29,65,,,,,,
"Blux Studio, Near Provenza, Desk, Balcony, Dryer",1/26/25 - 1/29/25,4.92,307,https://www.airbnb.com/rooms/19680686?adults=1&source_impression_id=p3_1712193894_bPvfprD9KXn%2FTBtM&previous_page_section_name=1000&federated_search_id=4bf265e0-a02e-48ed-be20-e59df82f0a92&guests=1&check_in=2025-01-26&check_out=2025-01-29,94,,,,,,
Wifi & A/C Designed Loft in Medellin Downtown. L12,1/26/25 - 1/29/25,4.82,179,https://www.airbnb.com/rooms/996324722047292422?adults=1&source_impression_id=p3_1712193450_BiyicK87V3LMrZpw&previous_page_section_name=1000&federated_search_id=4bf265e0-a02e-48ed-be20-e59df82f0a92&guests=1&check_in=2025-02-02&check_out=2025-02-05,43,,,,,,
Seréno and Bright Apartment. In Bello Cabañas.,1/26/25 - 1/29/25,4.98,134,https://www.airbnb.com/rooms/1021214122495498663?adults=1&source_impression_id=p3_1712194545_csPtdIry9btpTVS%2F&previous_page_section_name=1000&federated_search_id=4bf265e0-a02e-48ed-be20-e59df82f0a92&guests=1&check_in=2025-03-02&check_out=2025-03-05,24,,,,,,
Cool vivid duplex apt in a great location,1/26/25 - 1/29/25,4.85,188,https://www.airbnb.com/rooms/879195073442200824?adults=1&source_impression_id=p3_1712193450_B864CnOt8%2BavRpaJ&previous_page_section_name=1000&federated_search_id=4bf265e0-a02e-48ed-be20-e59df82f0a92&guests=1&check_in=2025-01-26&check_out=2025-01-29,50,,,,,,
"Jacuzzi, balcony, wifi in Laureles, Medellín 505",1/26/25 - 1/29/25,4.93,172,https://www.airbnb.com/rooms/1121102763737335957?adults=1&source_impression_id=p3_1712194814_OgkIFuuXfoIHImyA&previous_page_section_name=1000&federated_search_id=4bf265e0-a02e-48ed-be20-e59df82f0a92&guests=1&check_in=2025-02-18&check_out=2025-02-21,72,,,,,,
Exclusive Accommodation!San Germán,1/26/25 - 1/29/25,5,174,https://www.airbnb.com/rooms/1021291805431959283?adults=1&source_impression_id=p3_1712284777_cuk2LQNL2fafoJKK&guests=1&check_in=2025-02-02&check_out=2025-02-05,,,,,,,
luxury loft with private balcony in laureles!,1/26/25 - 1/29/25,4.88,131,https://www.airbnb.com/rooms/1010124596579891967?adults=1&location=Medellin%2C%20Antioquia%2C%20Colombia&search_mode=regular_search&amenities%5B0%5D=4&amenities%5B1%5D=33&source_impression_id=p3_1712286911_tHk26SLQJ2y81hi%2B&previous_page_section_name=1001&federated_search_id=3f2e71c8-6c48-4287-b036-0f5c191c90ab&guests=1&check_in=2025-01-28&check_out=2025-01-31,,,,,,,
Beautiful Studio Laurels - A4,1/26/25 - 1/29/25,5,144,https://www.airbnb.com/rooms/785663470668762081?adults=1&location=Medellin%2C%20Antioquia%2C%20Colombia&search_mode=regular_search&amenities%5B0%5D=4&amenities%5B1%5D=33&source_impression_id=p3_1712287188_2zVGxRWCU%2BheYmwl&previous_page_section_name=1001&federated_search_id=f0aae72d-8ded-4dd1-8e9a-879359fb5423&guests=1&check_in=2025-01-19&check_out=2025-01-22,,,,,,,
Charming apartment in Laureles at great location,1/26/25 - 1/29/25,4.94,495,https://www.airbnb.com/rooms/908700032779517524?adults=1&location=Medellin%2C%20Antioquia%2C%20Colombia&search_mode=regular_search&amenities%5B0%5D=4&amenities%5B1%5D=33&source_impression_id=p3_1712287431_x4sQ%2Fq%2BkJhQiXPug&previous_page_section_name=1001&federated_search_id=f0aae72d-8ded-4dd1-8e9a-879359fb5423&guests=1&check_in=2025-02-11&check_out=2025-02-15,,,,,,,
"great place, comfortable-elegant,laureles-estadio!",1/26/25 - 1/29/25,5,134,https://www.airbnb.com/rooms/1010383342834348075?adults=1&location=Medellin%2C%20Antioquia%2C%20Colombia&search_mode=regular_search&amenities%5B0%5D=4&amenities%5B1%5D=33&source_impression_id=p3_1712287738_gUmm7aGQttMRlqcM&previous_page_section_name=1001&federated_search_id=f0aae72d-8ded-4dd1-8e9a-879359fb5423&guests=1&check_in=2025-02-02&check_out=2025-02-05,,,,,,,
Central Location and Comfort,1/26/25 - 1/29/25,4.93,234,https://www.airbnb.com/rooms/889369566862266899?adults=1&location=Medellin%2C%20Antioquia%2C%20Colombia&search_mode=regular_search&amenities%5B0%5D=4&amenities%5B1%5D=33&source_impression_id=p3_1712288034_Hw844dElkP9wUVql&previous_page_section_name=1001&federated_search_id=f0aae72d-8ded-4dd1-8e9a-879359fb5423&guests=1&check_in=2025-01-26&check_out=2025-01-29,,,,,,,
Spacious 710ft Loft - Alori 202,1/26/25 - 1/29/25,4.89,410,https://www.airbnb.com/rooms/42438902?adults=1&location=Medellin%2C%20Antioquia%2C%20Colombia&search_mode=regular_search&amenities%5B0%5D=4&amenities%5B1%5D=33&source_impression_id=p3_1712288141_0%2BQ51P%2B3AIcdHGxL&previous_page_section_name=1001&federated_search_id=f0aae72d-8ded-4dd1-8e9a-879359fb5423&guests=1&check_in=2025-01-26&check_out=2025-01-29,,,,,,,
Lovely apartment- AC- nice balcony -402,1/26/25 - 1/29/25,4.83,258,https://www.airbnb.com/rooms/53419751?adults=1&search_mode=regular_search&source_impression_id=p3_1712418179_B8vHfAhCNkvImIPg&previous_page_section_name=1000&federated_search_id=5d90385e-fe76-4171-8f7d-7be3256ec29d&guests=1&check_in=2025-01-26&check_out=2025-01-29,,,,,,,